playerID,awardID,yearID:int,lgID,tie,noteslogical 
"larusto01","BBWAA Manager of the year",1983,"AL","0",0
"lasorto01","BBWAA Manager of the year",1983,"NL","0",0
"andersp01","BBWAA Manager of the year",1984,"AL","0",0
"freyji99","BBWAA Manager of the year",1984,"NL","0",0
"coxbo01","BBWAA Manager of the year",1985,"AL","0",0
"herzowh01","BBWAA Manager of the year",1985,"NL","0",0
"mcnamjo99","BBWAA Manager of the year",1986,"AL","0",0
"lanieha01","BBWAA Manager of the year",1986,"NL","0",0
"andersp01","BBWAA Manager of the year",1987,"AL","0",0
"rodgebu01","BBWAA Manager of the year",1987,"NL","0",0
"larusto01","BBWAA Manager of the year",1988,"AL","0",0
"lasorto01","BBWAA Manager of the year",1988,"NL","0",0
"robinfr02","BBWAA Manager of the year",1989,"AL","0",0
"zimmedo01","BBWAA Manager of the year",1989,"NL","0",0
"torboje01","BBWAA Manager of the year",1990,"AL","0",0
"leylaji99","BBWAA Manager of the year",1990,"NL","0",0
"kellyto01","BBWAA Manager of the year",1991,"AL","0",0
"coxbo01","BBWAA Manager of the year",1991,"NL","0",0
"larusto01","BBWAA Manager of the year",1992,"AL","0",0
"leylaji99","BBWAA Manager of the year",1992,"NL","0",0
"lamonge01","BBWAA Manager of the year",1993,"AL","0",0
"bakerdu01","BBWAA Manager of the year",1993,"NL","0",0
"showabu99","BBWAA Manager of the year",1994,"AL","0",0
"aloufe01","BBWAA Manager of the year",1994,"NL","0",0
"pinielo01","BBWAA Manager of the year",1995,"AL","0",0
"baylodo01","BBWAA Manager of the year",1995,"NL","0",0
"oatesjo01","BBWAA Manager of the year",1996,"AL","Y",0
"torrejo01","BBWAA Manager of the year",1996,"AL","Y",0
"bochybr01","BBWAA Manager of the year",1996,"NL","0",0
"johnsda02","BBWAA Manager of the year",1997,"AL","0",0
"bakerdu01","BBWAA Manager of the year",1997,"NL","0",0
"torrejo01","BBWAA Manager of the year",1998,"AL","0",0
"dierkla01","BBWAA Manager of the year",1998,"NL","0",0
"williji03","BBWAA Manager of the year",1999,"AL","0",0
"mckeoja99","BBWAA Manager of the year",1999,"NL","0",0
"manueje01","BBWAA Manager of the year",2000,"AL","0",0
"bakerdu01","BBWAA Manager of the year",2000,"NL","0",0
"pinielo01","BBWAA Manager of the year",2001,"AL","0",0
"bowala01","BBWAA Manager of the year",2001,"NL","0",0
"sciosmi01","BBWAA Manager of the year",2002,"AL","0",0
"larusto01","BBWAA Manager of the year",2002,"NL","0",0
"penato01","BBWAA Manager of the year",2003,"AL","0",0
"mckeoja99","BBWAA Manager of the year",2003,"NL","0",0
"showabu99","BBWAA Manager of the year",2004,"AL","0",0
"coxbo01","BBWAA Manager of the year",2004,"NL","0",0
"guilloz01","BBWAA Manager of the year",2005,"AL","0",0
"coxbo01","BBWAA Manager of the year",2005,"NL","0",0
"leylaji99","BBWAA Manager of the year",2006,"AL","0",0
"girarjo01","BBWAA Manager of the year",2006,"NL","0",0
"wedgeer01","BBWAA Manager of the year",2007,"AL","0",0
"melvibo01","BBWAA Manager of the year",2007,"NL","0",0
"maddojo99","BBWAA Manager of the year",2008,"AL","0",0
"pinielo01","BBWAA Manager of the year",2008,"NL","0",0
"sciosmi01","BBWAA Manager of the year",2009,"AL","0",0
"tracyji01","BBWAA Manager of the year",2009,"NL","0",0
"gardero01","BBWAA Manager of the year",2010,"AL","0",0
"blackbu02","BBWAA Manager of the year",2010,"NL","0",0
"maddojo99","BBWAA Manager of the year",2011,"AL","0",0
"gibsoki01","BBWAA Manager of the year",2011,"NL","0",0
"melvibo01","BBWAA Manager of the year",2012,"AL","0",0
"johnsda02","BBWAA Manager of the year",2012,"NL","0",0
"francte01","BBWAA Manager of the year",2013,"AL","0",0
"hurdlcl01","BBWAA Manager of the year",2013,"NL","0",0
"mccarjo99","TSN Manager of the Year",1936,"ML","0",0
