playerID,awardID,yearID:int,lgID,tie,notes 
"bondto01","Pitching Triple Crown",1877,"NL","0","0"
"hinespa01","Triple Crown",1878,"NL","0","0"
"heckegu01","Pitching Triple Crown",1884,"AA","0","0"
"radboch01","Pitching Triple Crown",1884,"NL","0","0"
"oneilti01","Triple Crown",1887,"AA","0","0"
"keefeti01","Pitching Triple Crown",1888,"NL","0","0"
"clarkjo01","Pitching Triple Crown",1889,"NL","0","0"
"rusieam01","Pitching Triple Crown",1894,"NL","0","0"
"duffyhu01","Triple Crown",1894,"NL","0","0"
"youngcy01","Pitching Triple Crown",1901,"AL","0","0"
"lajoina01","Triple Crown",1901,"AL","0","0"
"wadderu01","Pitching Triple Crown",1905,"AL","0","0"
"mathech01","Pitching Triple Crown",1905,"NL","0","0"
"chaseha01","Baseball Magazine All-Star",1908,"AL","0","1B"
"lajoina01","Baseball Magazine All-Star",1908,"AL","0","2B"
"lordha01","Baseball Magazine All-Star",1908,"AL","0","3B"
"crigelo01","Baseball Magazine All-Star",1908,"AL","0","C"
"sullibi03","Baseball Magazine All-Star",1908,"AL","0","C"
"crawfsa01","Baseball Magazine All-Star",1908,"AL","0","CF"
"stonege01","Baseball Magazine All-Star",1908,"AL","0","LF"
"walshed01","Baseball Magazine All-Star",1908,"AL","0","P1"
"youngcy01","Baseball Magazine All-Star",1908,"AL","0","P2"
"wadderu01","Baseball Magazine All-Star",1908,"AL","0","P3"
"jossad01","Baseball Magazine All-Star",1908,"AL","0","P4"
"donovbi01","Baseball Magazine All-Star",1908,"AL","0","P5"
"cobbty01","Baseball Magazine All-Star",1908,"AL","0","RF"
"wallabo01","Baseball Magazine All-Star",1908,"AL","0","SS"
"chaseha01","Baseball Magazine All-Star",1908,"ML","0","1B"
"lajoina01","Baseball Magazine All-Star",1908,"ML","0","2B"
"devliar01","Baseball Magazine All-Star",1908,"ML","0","3B"
"bresnro01","Baseball Magazine All-Star",1908,"ML","0","C"
"klingjo01","Baseball Magazine All-Star",1908,"ML","0","C"
"donlimi01","Baseball Magazine All-Star",1908,"ML","0","CF"
"clarkfr01","Baseball Magazine All-Star",1908,"ML","0","LF"
"walshed01","Baseball Magazine All-Star",1908,"ML","0","P1"
