playerID,yearID:int,votedBy,ballots:int,needed:int,votes:int,inducted,category,needed_note 
"cobbty01",1936,"BBWAA",226,170,222,"Y","Player","0"
"ruthba01",1936,"BBWAA",226,170,215,"Y","Player","0"
"wagneho01",1936,"BBWAA",226,170,215,"Y","Player","0"
"mathech01",1936,"BBWAA",226,170,205,"Y","Player","0"
"johnswa01",1936,"BBWAA",226,170,189,"Y","Player","0"
"lajoina01",1936,"BBWAA",226,170,146,"N","Player","0"
"speaktr01",1936,"BBWAA",226,170,133,"N","Player","0"
"youngcy01",1936,"BBWAA",226,170,111,"N","Player","0"
"hornsro01",1936,"BBWAA",226,170,105,"N","Player","0"
"cochrmi01",1936,"BBWAA",226,170,80,"N","Player","0"
"sislege01",1936,"BBWAA",226,170,77,"N","Player","0"
"collied01",1936,"BBWAA",226,170,60,"N","Player","0"
"colliji01",1936,"BBWAA",226,170,58,"N","Player","0"
"alexape01",1936,"BBWAA",226,170,55,"N","Player","0"
"gehrilo01",1936,"BBWAA",226,170,51,"N","Player","0"
"bresnro01",1936,"BBWAA",226,170,47,"N","Player","0"
"keelewi01",1936,"BBWAA",226,170,40,"N","Player","0"
"ansonca01",1936,"Veterans",78,59,39,"N","Player","0"
"ewingbu01",1936,"Veterans",78,59,39,"N","Player","0"
"keelewi01",1936,"Veterans",78,59,33,"N","Player","0"
"wadderu01",1936,"BBWAA",226,170,33,"N","Player","0"
"youngcy01",1936,"Veterans",78,59,32,"N","Player","0"
"delahed01",1936,"Veterans",78,59,21,"N","Player","0"
"foxxji01",1936,"BBWAA",226,170,21,"N","Player","0"
"walshed01",1936,"BBWAA",226,170,20,"N","Player","0"
"mcgrajo01",1936,"Veterans",78,59,17,"N","Player","0"
"delahed01",1936,"BBWAA",226,170,17,"N","Player","0"
"radboch01",1936,"Veterans",78,59,16,"N","Player","0"
"traynpi01",1936,"BBWAA",226,170,16,"N","Player","0"
"kellyki01",1936,"Veterans",78,59,15,"N","Player","0"
"longhe01",1936,"Veterans",78,59,15,"N","Player","0"
"friscfr01",1936,"BBWAA",226,170,14,"N","Player","0"
"grovele01",1936,"BBWAA",226,170,12,"N","Player","0"
"jennihu01",1936,"Veterans",78,59,11,"N","Player","0"
"rusieam01",1936,"Veterans",78,59,11,"N","Player","0"
"chaseha01",1936,"BBWAA",226,170,11,"N","Player","0"
"youngro01",1936,"BBWAA",226,170,10,"N","Player","0"
"clarkfr01",1936,"Veterans",78,59,9,"N","Player","0"
"terrybi01",1936,"BBWAA",226,170,9,"N","Player","0"
"colliji01",1936,"Veterans",78,59,8,"N","Player","0"
"klingjo01",1936,"BBWAA",226,170,8,"N","Player","0"
"crigelo01",1936,"BBWAA",226,170,7,"N","Player","0"
"comisch01",1936,"Veterans",78,59,6,"N","Player","0"
"dennyje01",1936,"Veterans",78,59,6,"N","Player","0"
"langebi01",1936,"Veterans",78,59,6,"N","Player","0"
"robinwi01",1936,"Veterans",78,59,6,"N","Player","0"
"stoveha01",1936,"Veterans",78,59,6,"N","Player","0"
"wrighge01",1936,"Veterans",78,59,6,"N","Player","0"
"brownmo01",1936,"BBWAA",226,170,6,"N","Player","0"
"eversjo01",1936,"BBWAA",226,170,6,"N","Player","0"
"clarkjo01",1936,"Veterans",78,59,5,"N","Player","0"
"wagneho01",1936,"Veterans",78,59,5,"N","Player","0"
"chancfr01",1936,"BBWAA",226,170,5,"N","Player","0"
"spaldal01",1936,"Veterans",78,59,4,"N","Player","0"
"mcgrajo01",1936,"BBWAA",226,170,4,"N","Player","0"
"schalra01",1936,"BBWAA",226,170,4,"N","Player","0"
"simmoal01",1936,"BBWAA",226,170,4,"N","Player","0"
"barnero01",1936,"Veterans",78,59,3,"N","Player","0"
"bennech01",1936,"Veterans",78,59,3,"N","Player","0"
"duffyhu01",1936,"Veterans",78,59,3,"N","Player","0"
"nichoki01",1936,"Veterans",78,59,3,"N","Player","0"
"wardjo01",1936,"Veterans",78,59,3,"N","Player","0"
"broutda01",1936,"Veterans",78,59,2,"N","Player","0"
"dunlafr01",1936,"Veterans",78,59,2,"N","Player","0"
"glassja01",1936,"Veterans",78,59,2,"N","Player","0"
"hamilbi01",1936,"Veterans",78,59,2,"N","Player","0"
"lajoina01",1936,"Veterans",78,59,2,"N","Player","0"
"willine01",1936,"Veterans",78,59,2,"N","Player","0"
"bendech01",1936,"BBWAA",226,170,2,"N","Player","0"
"jacksjo01",1936,"BBWAA",226,170,2,"N","Player","0"
"roushed01",1936,"BBWAA",226,170,2,"N","Player","0"
"allisdo01",1936,"Veterans",78,59,1,"N","Player","0"
"battijo01",1936,"Veterans",78,59,1,"N","Player","0"
"becklja01",1936,"Veterans",78,59,1,"N","Player","0"
"bondto01",1936,"Veterans",78,59,1,"N","Player","0"
"burkeje01",1936,"Veterans",78,59,1,"N","Player","0"
"crigelo01",1936,"Veterans",78,59,1,"N","Player","0"
"dahlebi01",1936,"Veterans",78,59,1,"N","Player","0"
"daubeja01",1936,"Veterans",78,59,1,"N","Player","0"
"doyleja01",1936,"Veterans",78,59,1,"N","Player","0"
